
============================================================
  Ablation run: B1_no_bisim
  Config overrides: {'K_BISIM_NN': 0}
============================================================

====================================================================
  Ferrari Sheaf-RL v2 — Directed Latent Value Iteration
  State: (x,y)∈[-1,1]²   GravityBasin   d=32   device=mps
  Graph: 1024 nodes  |  rebuilt every 500 steps
  Value iter: 50 directed Bellman steps
====================================================================

[Warmup: collecting 3000 random transitions...]


[Graph built] N=1024 nodes  E_temp=512  k-NN=5  step=3500
  step   4000  ε=0.905  L_koop=0.1835  L_v=0.0000  L_recon=0.0176  succ/20=1  sps=25  Vd_max=1.000  Vd_μ=0.001
  step   6000  ε=0.858  L_koop=0.0259  L_v=0.0005  L_recon=0.0029  succ/20=1  sps=39  Vd_max=1.000  Vd_μ=0.011
  step   8000  ε=0.810  L_koop=0.0014  L_v=0.0001  L_recon=0.0001  succ/20=0  sps=46  Vd_max=1.000  Vd_μ=0.023
  step  10000  ε=0.762  L_koop=0.0005  L_v=0.0001  L_recon=0.0000  succ/20=1  sps=46  Vd_max=1.000  Vd_μ=0.030
  step  12000  ε=0.715  L_koop=0.0003  L_v=0.0001  L_recon=0.0000  succ/20=1  sps=46  Vd_max=1.003  Vd_μ=0.095
  step  14000  ε=0.667  L_koop=0.0002  L_v=0.0001  L_recon=0.0000  succ/20=0  sps=43  Vd_max=1.009  Vd_μ=0.102
  step  16000  ε=0.620  L_koop=0.0002  L_v=0.0001  L_recon=0.0000  succ/20=0  sps=43  Vd_max=1.005  Vd_μ=0.201
  step  18000  ε=0.573  L_koop=0.0002  L_v=0.0000  L_recon=0.0000  succ/20=1  sps=46  Vd_max=1.000  Vd_μ=0.148
  step  20000  ε=0.525  L_koop=0.0002  L_v=0.0000  L_recon=0.0000  succ/20=3  sps=48  Vd_max=1.000  Vd_μ=0.126
  step  22000  ε=0.478  L_koop=0.0002  L_v=0.0000  L_recon=0.0000  succ/20=10  sps=41  Vd_max=1.046  Vd_μ=0.203
  step  24000  ε=0.430  L_koop=0.0002  L_v=0.0000  L_recon=0.0000  succ/20=13  sps=44  Vd_max=1.000  Vd_μ=0.210
  step  26000  ε=0.382  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=9  sps=44  Vd_max=1.000  Vd_μ=0.176
  step  28000  ε=0.335  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=16  sps=45  Vd_max=1.031  Vd_μ=0.237
  step  30000  ε=0.287  L_koop=0.0004  L_v=0.0000  L_recon=0.0000  succ/20=11  sps=41  Vd_max=1.056  Vd_μ=0.156
  step  32000  ε=0.240  L_koop=0.0005  L_v=0.0000  L_recon=0.0000  succ/20=16  sps=40  Vd_max=1.055  Vd_μ=0.214
  step  34000  ε=0.193  L_koop=0.0006  L_v=0.0000  L_recon=0.0000  succ/20=12  sps=42  Vd_max=1.066  Vd_μ=0.259
  step  36000  ε=0.145  L_koop=0.0006  L_v=0.0000  L_recon=0.0000  succ/20=16  sps=39  Vd_max=1.003  Vd_μ=0.167
  step  38000  ε=0.098  L_koop=0.0006  L_v=0.0000  L_recon=0.0000  succ/20=15  sps=41  Vd_max=1.056  Vd_μ=0.296
  step  40000  ε=0.050  L_koop=0.0006  L_v=0.0000  L_recon=0.0000  succ/20=17  sps=41  Vd_max=1.057  Vd_μ=0.248
  step  42000  ε=0.050  L_koop=0.0006  L_v=0.0000  L_recon=0.0000  succ/20=19  sps=43  Vd_max=1.065  Vd_μ=0.283
  step  44000  ε=0.050  L_koop=0.0006  L_v=0.0000  L_recon=0.0000  succ/20=17  sps=36  Vd_max=1.057  Vd_μ=0.216
  step  46000  ε=0.050  L_koop=0.0006  L_v=0.0000  L_recon=0.0000  succ/20=16  sps=44  Vd_max=1.043  Vd_μ=0.261
  step  48000  ε=0.050  L_koop=0.0006  L_v=0.0000  L_recon=0.0000  succ/20=14  sps=43  Vd_max=1.052  Vd_μ=0.219
  step  50000  ε=0.050  L_koop=0.0006  L_v=0.0000  L_recon=0.0000  succ/20=17  sps=40  Vd_max=1.060  Vd_μ=0.272
  step  52000  ε=0.050  L_koop=0.0005  L_v=0.0000  L_recon=0.0000  succ/20=12  sps=39  Vd_max=1.043  Vd_μ=0.304
  step  54000  ε=0.050  L_koop=0.0005  L_v=0.0000  L_recon=0.0000  succ/20=16  sps=40  Vd_max=1.058  Vd_μ=0.294
  step  56000  ε=0.050  L_koop=0.0005  L_v=0.0000  L_recon=0.0000  succ/20=17  sps=44  Vd_max=1.050  Vd_μ=0.288
  step  58000  ε=0.050  L_koop=0.0005  L_v=0.0000  L_recon=0.0000  succ/20=13  sps=53  Vd_max=1.050  Vd_μ=0.339
