
============================================================
  Ablation run: B2_no_penalty
  Config overrides: {'BISIM_PENALTY_SCALE': 0.0}
============================================================

====================================================================
  Ferrari Sheaf-RL v2 — Directed Latent Value Iteration
  State: (x,y)∈[-1,1]²   GravityBasin   d=32   device=mps
  Graph: 1024 nodes  |  rebuilt every 500 steps
  Value iter: 50 directed Bellman steps
====================================================================

[Warmup: collecting 3000 random transitions...]


[Graph built] N=1024 nodes  E_temp=512  k-NN=5  step=3500
  step   4000  ε=0.905  L_koop=0.1835  L_v=0.0007  L_recon=0.0176  succ/20=1  sps=43  Vd_max=1.000  Vd_μ=0.833
  step   6000  ε=0.858  L_koop=0.0259  L_v=0.0068  L_recon=0.0028  succ/20=1  sps=44  Vd_max=1.029  Vd_μ=0.898
  step   8000  ε=0.810  L_koop=0.0015  L_v=0.0003  L_recon=0.0002  succ/20=0  sps=38  Vd_max=1.055  Vd_μ=0.993
  step  10000  ε=0.762  L_koop=0.0005  L_v=0.0002  L_recon=0.0000  succ/20=0  sps=49  Vd_max=1.067  Vd_μ=1.034
  step  12000  ε=0.715  L_koop=0.0003  L_v=0.0001  L_recon=0.0000  succ/20=0  sps=43  Vd_max=1.080  Vd_μ=1.070
  step  14000  ε=0.667  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=37  Vd_max=1.088  Vd_μ=1.080
  step  16000  ε=0.620  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=35  Vd_max=1.094  Vd_μ=1.088
  step  18000  ε=0.573  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=33  Vd_max=1.096  Vd_μ=1.092
  step  20000  ε=0.525  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=39  Vd_max=1.104  Vd_μ=1.098
  step  22000  ε=0.478  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=47  Vd_max=1.110  Vd_μ=1.103
  step  24000  ε=0.430  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=45  Vd_max=1.118  Vd_μ=1.109
  step  26000  ε=0.382  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=45  Vd_max=1.128  Vd_μ=1.121
  step  28000  ε=0.335  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=44  Vd_max=1.139  Vd_μ=1.128
  step  30000  ε=0.287  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=42  Vd_max=1.147  Vd_μ=1.135
  step  32000  ε=0.240  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=47  Vd_max=1.162  Vd_μ=1.142
  step  34000  ε=0.193  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=49  Vd_max=1.182  Vd_μ=1.160
  step  36000  ε=0.145  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=48  Vd_max=1.204  Vd_μ=1.176
  step  38000  ε=0.098  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=44  Vd_max=1.227  Vd_μ=1.194
  step  40000  ε=0.050  L_koop=0.0001  L_v=0.0001  L_recon=0.0000  succ/20=0  sps=45  Vd_max=1.305  Vd_μ=1.232
  step  42000  ε=0.050  L_koop=0.0002  L_v=0.0001  L_recon=0.0000  succ/20=0  sps=43  Vd_max=1.325  Vd_μ=1.271
  step  44000  ε=0.050  L_koop=0.0004  L_v=0.0001  L_recon=0.0000  succ/20=0  sps=38  Vd_max=1.394  Vd_μ=1.312
  step  46000  ε=0.050  L_koop=0.0006  L_v=0.0003  L_recon=0.0000  succ/20=0  sps=39  Vd_max=1.455  Vd_μ=1.363
  step  48000  ε=0.050  L_koop=0.0007  L_v=0.0001  L_recon=0.0000  succ/20=0  sps=39  Vd_max=1.465  Vd_μ=1.417
  step  50000  ε=0.050  L_koop=0.0007  L_v=0.0002  L_recon=0.0000  succ/20=0  sps=38  Vd_max=1.505  Vd_μ=1.460
  step  52000  ε=0.050  L_koop=0.0007  L_v=0.0001  L_recon=0.0000  succ/20=0  sps=39  Vd_max=1.553  Vd_μ=1.491
  step  54000  ε=0.050  L_koop=0.0007  L_v=0.0001  L_recon=0.0000  succ/20=0  sps=41  Vd_max=1.599  Vd_μ=1.525
  step  56000  ε=0.050  L_koop=0.0007  L_v=0.0001  L_recon=0.0000  succ/20=0  sps=40  Vd_max=1.638  Vd_μ=1.571
  step  58000  ε=0.050  L_koop=0.0008  L_v=0.0002  L_recon=0.0000  succ/20=0  sps=39  Vd_max=1.691  Vd_μ=1.620
  step  60000  ε=0.050  L_koop=0.0008  L_v=0.0001  L_recon=0.0000  succ/20=0  sps=40  Vd_max=1.722  Vd_μ=1.661
  step  62000  ε=0.050  L_koop=0.0008  L_v=0.0002  L_recon=0.0000  succ/20=0  sps=42  Vd_max=1.800  Vd_μ=1.726
  step  64000  ε=0.050  L_koop=0.0009  L_v=0.0004  L_recon=0.0000  succ/20=0  sps=40  Vd_max=1.833  Vd_μ=1.762
  step  66000  ε=0.050  L_koop=0.0010  L_v=0.0004  L_recon=0.0000  succ/20=0  sps=38  Vd_max=1.935  Vd_μ=1.879
  step  68000  ε=0.050  L_koop=0.0011  L_v=0.0002  L_recon=0.0000  succ/20=0  sps=40  Vd_max=1.977  Vd_μ=1.922
  step  70000  ε=0.050  L_koop=0.0010  L_v=0.0002  L_recon=0.0000  succ/20=0  sps=41  Vd_max=2.053  Vd_μ=1.963
  step  72000  ε=0.050  L_koop=0.0010  L_v=0.0001  L_recon=0.0000  succ/20=0  sps=40  Vd_max=2.087  Vd_μ=2.019
  step  74000  ε=0.050  L_koop=0.0010  L_v=0.0004  L_recon=0.0000  succ/20=0  sps=38  Vd_max=2.109  Vd_μ=2.077
  step  76000  ε=0.050  L_koop=0.0010  L_v=0.0001  L_recon=0.0000  succ/20=0  sps=41  Vd_max=2.150  Vd_μ=2.116
  step  78000  ε=0.050  L_koop=0.0010  L_v=0.0001  L_recon=0.0000  succ/20=0  sps=38  Vd_max=2.187  Vd_μ=2.149
  step  80000  ε=0.050  L_koop=0.0011  L_v=0.0001  L_recon=0.0000  succ/20=0  sps=40  Vd_max=2.221  Vd_μ=2.186
  step  82000  ε=0.050  L_koop=0.0012  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=42  Vd_max=2.258  Vd_μ=2.216
  step  84000  ε=0.050  L_koop=0.0013  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=39  Vd_max=2.272  Vd_μ=2.243
  step  86000  ε=0.050  L_koop=0.0013  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=39  Vd_max=2.325  Vd_μ=2.269
  step  88000  ε=0.050  L_koop=0.0013  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=40  Vd_max=2.328  Vd_μ=2.296
  step  90000  ε=0.050  L_koop=0.0013  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=45  Vd_max=2.366  Vd_μ=2.325
  step  92000  ε=0.050  L_koop=0.0013  L_v=0.0001  L_recon=0.0000  succ/20=0  sps=53  Vd_max=2.399  Vd_μ=2.351
