
============================================================
  Ablation run: G1_small
  Config overrides: {'N_CHUNKS': 16}
============================================================

====================================================================
  Ferrari Sheaf-RL v2 — Directed Latent Value Iteration
  State: (x,y)∈[-1,1]²   GravityBasin   d=32   device=mps
  Graph: 1024 nodes  |  rebuilt every 500 steps
  Value iter: 50 directed Bellman steps
====================================================================

[Warmup: collecting 3000 random transitions...]


[Graph built] N=1024 nodes  E_temp=512  k-NN=5  step=3500
  step   4000  ε=0.905  L_koop=0.1835  L_v=0.0000  L_recon=0.0176  succ/20=0  sps=187  Vd_max=0.001  Vd_μ=0.000
  step   6000  ε=0.858  L_koop=0.0260  L_v=0.0000  L_recon=0.0028  succ/20=0  sps=123  Vd_max=0.013  Vd_μ=0.003
  step   8000  ε=0.810  L_koop=0.0014  L_v=0.0000  L_recon=0.0001  succ/20=0  sps=114  Vd_max=0.012  Vd_μ=0.005
  step  10000  ε=0.762  L_koop=0.0006  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=98  Vd_max=0.011  Vd_μ=0.004
  step  12000  ε=0.715  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=59  Vd_max=0.013  Vd_μ=0.005
  step  14000  ε=0.667  L_koop=0.0002  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=50  Vd_max=0.011  Vd_μ=0.005
  step  16000  ε=0.620  L_koop=0.0002  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=42  Vd_max=0.014  Vd_μ=0.005
  step  18000  ε=0.573  L_koop=0.0002  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=40  Vd_max=0.014  Vd_μ=0.006
  step  20000  ε=0.525  L_koop=0.0002  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=45  Vd_max=0.015  Vd_μ=0.006
  step  22000  ε=0.478  L_koop=0.0006  L_v=0.0016  L_recon=0.0000  succ/20=1  sps=44  Vd_max=1.023  Vd_μ=0.228
  step  24000  ε=0.430  L_koop=0.0009  L_v=0.0002  L_recon=0.0000  succ/20=6  sps=35  Vd_max=1.064  Vd_μ=0.275
  step  26000  ε=0.382  L_koop=0.0006  L_v=0.0001  L_recon=0.0000  succ/20=9  sps=38  Vd_max=1.021  Vd_μ=0.321
