
============================================================
  Ablation run: G2_large
  Config overrides: {'N_CHUNKS': 64}
============================================================

====================================================================
  Ferrari Sheaf-RL v2 — Directed Latent Value Iteration
  State: (x,y)∈[-1,1]²   GravityBasin   d=32   device=mps
  Graph: 1024 nodes  |  rebuilt every 500 steps
  Value iter: 50 directed Bellman steps
====================================================================

[Warmup: collecting 3000 random transitions...]


[Graph built] N=1024 nodes  E_temp=512  k-NN=5  step=3500
  step   4000  ε=0.905  L_koop=0.1835  L_v=0.0000  L_recon=0.0176  succ/20=0  sps=39  Vd_max=0.002  Vd_μ=0.000
  step   6000  ε=0.858  L_koop=0.0260  L_v=0.0000  L_recon=0.0028  succ/20=0  sps=42  Vd_max=0.010  Vd_μ=0.003
  step   8000  ε=0.810  L_koop=0.0014  L_v=0.0000  L_recon=0.0001  succ/20=0  sps=38  Vd_max=0.008  Vd_μ=0.004
  step  10000  ε=0.762  L_koop=0.0005  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=48  Vd_max=0.008  Vd_μ=0.004
  step  12000  ε=0.715  L_koop=0.0002  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=45  Vd_max=0.008  Vd_μ=0.005
  step  14000  ε=0.667  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=37  Vd_max=0.009  Vd_μ=0.004
  step  16000  ε=0.620  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=36  Vd_max=0.008  Vd_μ=0.004
  step  18000  ε=0.573  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=32  Vd_max=0.008  Vd_μ=0.005
  step  20000  ε=0.525  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=40  Vd_max=0.008  Vd_μ=0.005
  step  22000  ε=0.478  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=47  Vd_max=0.008  Vd_μ=0.005
  step  24000  ε=0.430  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=41  Vd_max=0.008  Vd_μ=0.005
  step  26000  ε=0.382  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=45  Vd_max=0.008  Vd_μ=0.005
  step  28000  ε=0.335  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=42  Vd_max=0.008  Vd_μ=0.005
  step  30000  ε=0.287  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=42  Vd_max=0.008  Vd_μ=0.006
  step  32000  ε=0.240  L_koop=0.0002  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=47  Vd_max=0.008  Vd_μ=0.006
  step  34000  ε=0.193  L_koop=0.0002  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=47  Vd_max=0.008  Vd_μ=0.006
  step  36000  ε=0.145  L_koop=0.0002  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=46  Vd_max=0.008  Vd_μ=0.006
  step  38000  ε=0.098  L_koop=0.0002  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=43  Vd_max=0.008  Vd_μ=0.005
  step  40000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=44  Vd_max=0.008  Vd_μ=0.006
  step  42000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=38  Vd_max=0.008  Vd_μ=0.005
  step  44000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=39  Vd_max=0.008  Vd_μ=0.006
  step  46000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=38  Vd_max=0.008  Vd_μ=0.005
  step  48000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=38  Vd_max=0.008  Vd_μ=0.005
  step  50000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=38  Vd_max=0.008  Vd_μ=0.005
  step  52000  ε=0.050  L_koop=0.0004  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=39  Vd_max=0.008  Vd_μ=0.005
  step  54000  ε=0.050  L_koop=0.0004  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=42  Vd_max=0.008  Vd_μ=0.005
  step  56000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=36  Vd_max=0.008  Vd_μ=0.005
  step  58000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=39  Vd_max=0.008  Vd_μ=0.005
  step  60000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=40  Vd_max=0.008  Vd_μ=0.006
  step  62000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=40  Vd_max=0.008  Vd_μ=0.006
  step  64000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=36  Vd_max=0.008  Vd_μ=0.005
  step  66000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=40  Vd_max=0.008  Vd_μ=0.005
  step  68000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=39  Vd_max=0.008  Vd_μ=0.006
  step  70000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=39  Vd_max=0.008  Vd_μ=0.005
  step  72000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=40  Vd_max=0.008  Vd_μ=0.006
  step  74000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=41  Vd_max=0.008  Vd_μ=0.006
  step  76000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=37  Vd_max=0.008  Vd_μ=0.006
  step  78000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=42  Vd_max=0.008  Vd_μ=0.006
  step  80000  ε=0.050  L_koop=0.0003  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=40  Vd_max=0.008  Vd_μ=0.006
  step  82000  ε=0.050  L_koop=0.0004  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=39  Vd_max=0.008  Vd_μ=0.006
  step  84000  ε=0.050  L_koop=0.0004  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=37  Vd_max=0.008  Vd_μ=0.006
  step  86000  ε=0.050  L_koop=0.0004  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=38  Vd_max=0.008  Vd_μ=0.006
  step  88000  ε=0.050  L_koop=0.0004  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=44  Vd_max=0.008  Vd_μ=0.006
  step  90000  ε=0.050  L_koop=0.0004  L_v=0.0000  L_recon=0.0000  succ/20=0  sps=50  Vd_max=0.008  Vd_μ=0.005
