
============================================================
  Ablation run: H2_k10
  Config overrides: {'K_DIFFUSE': 10}
============================================================

====================================================================
  Ferrari Sheaf-RL v2 — Directed Latent Value Iteration
  State: (x,y)∈[-1,1]²   GravityBasin   d=32   device=mps
  Graph: 1024 nodes  |  rebuilt every 500 steps
  Value iter: 50 directed Bellman steps
====================================================================

[Warmup: collecting 3000 random transitions...]


[Graph built] N=1024 nodes  E_temp=512  k-NN=5  step=3500
  step   4000  ε=0.905  L_koop=0.1835  L_v=0.0001  L_recon=0.0176  succ/20=1  sps=194  Vd_max=1.000  Vd_μ=0.104
  step   6000  ε=0.858  L_koop=0.0259  L_v=0.0035  L_recon=0.0029  succ/20=1  sps=121  Vd_max=1.000  Vd_μ=0.208
  step   8000  ε=0.810  L_koop=0.0015  L_v=0.0003  L_recon=0.0002  succ/20=1  sps=113  Vd_max=1.025  Vd_μ=0.333
  step  10000  ε=0.762  L_koop=0.0005  L_v=0.0001  L_recon=0.0000  succ/20=1  sps=98  Vd_max=1.000  Vd_μ=0.434
  step  12000  ε=0.715  L_koop=0.0002  L_v=0.0000  L_recon=0.0000  succ/20=3  sps=56  Vd_max=1.011  Vd_μ=0.458
  step  14000  ε=0.667  L_koop=0.0002  L_v=0.0000  L_recon=0.0000  succ/20=4  sps=49  Vd_max=1.039  Vd_μ=0.561
  step  16000  ε=0.620  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=9  sps=40  Vd_max=1.051  Vd_μ=0.627
  step  18000  ε=0.573  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=9  sps=41  Vd_max=1.067  Vd_μ=0.689
  step  20000  ε=0.525  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=12  sps=45  Vd_max=1.047  Vd_μ=0.663
  step  22000  ε=0.478  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=16  sps=44  Vd_max=1.062  Vd_μ=0.696
  step  24000  ε=0.430  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=20  sps=37  Vd_max=1.079  Vd_μ=0.675
  step  26000  ε=0.382  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=20  sps=38  Vd_max=1.062  Vd_μ=0.668
  step  28000  ε=0.335  L_koop=0.0001  L_v=0.0000  L_recon=0.0000  succ/20=20  sps=31  Vd_max=1.056  Vd_μ=0.723
