
============================================================
  Ablation run: K1_no_normalize
  Config overrides: {'NO_NORMALIZE': True}
============================================================

====================================================================
  Ferrari Sheaf-RL v2 — Directed Latent Value Iteration
  State: (x,y)∈[-1,1]²   GravityBasin   d=32   device=mps
  Graph: 1024 nodes  |  rebuilt every 500 steps
  Value iter: 50 directed Bellman steps
====================================================================

[Warmup: collecting 3000 random transitions...]


[Graph built] N=1024 nodes  E_temp=512  k-NN=5  step=3500
  step   4000  ε=0.905  L_koop=0.0314  L_v=0.0003  L_recon=0.0062  succ/20=1  sps=50  Vd_max=1.000  Vd_μ=0.350
  step   6000  ε=0.858  L_koop=0.0031  L_v=0.0027  L_recon=0.0001  succ/20=1  sps=54  Vd_max=1.000  Vd_μ=0.342
  step   8000  ε=0.810  L_koop=0.0017  L_v=0.0011  L_recon=0.0000  succ/20=0  sps=47  Vd_max=1.000  Vd_μ=0.341
  step  10000  ε=0.762  L_koop=0.0010  L_v=0.0016  L_recon=0.0000  succ/20=1  sps=42  Vd_max=1.000  Vd_μ=0.393
  step  12000  ε=0.715  L_koop=0.0008  L_v=0.0014  L_recon=0.0000  succ/20=2  sps=52  Vd_max=1.000  Vd_μ=0.315
  step  14000  ε=0.667  L_koop=0.0009  L_v=0.0017  L_recon=0.0000  succ/20=2  sps=48  Vd_max=1.000  Vd_μ=0.402
  step  16000  ε=0.620  L_koop=0.0009  L_v=0.0015  L_recon=0.0000  succ/20=1  sps=44  Vd_max=1.000  Vd_μ=0.407
  step  18000  ε=0.573  L_koop=0.0010  L_v=0.0015  L_recon=0.0000  succ/20=0  sps=39  Vd_max=1.000  Vd_μ=0.354
  step  20000  ε=0.525  L_koop=0.0011  L_v=0.0016  L_recon=0.0000  succ/20=1  sps=42  Vd_max=1.000  Vd_μ=0.328
  step  22000  ε=0.478  L_koop=0.0012  L_v=0.0015  L_recon=0.0000  succ/20=1  sps=34  Vd_max=1.000  Vd_μ=0.029
  step  24000  ε=0.430  L_koop=0.0013  L_v=0.0019  L_recon=0.0000  succ/20=2  sps=46  Vd_max=1.000  Vd_μ=0.096
  step  26000  ε=0.382  L_koop=0.0013  L_v=0.0014  L_recon=0.0000  succ/20=2  sps=48  Vd_max=1.000  Vd_μ=0.344
  step  28000  ε=0.335  L_koop=0.0014  L_v=0.0019  L_recon=0.0000  succ/20=3  sps=44  Vd_max=1.000  Vd_μ=0.262
